i,gender,ht
410,2,148.4
411,1,169.1
412,2,152.7
413,2,164.3
414,2,156.4
415,2,146.2
416,1,176.3
417,2,157.8
418,2,148
419,2,153.4
420,1,175
421,2,153.4
422,1,170.5
423,1,160.4
424,2,157.6
425,1,172.5
426,2,159.7
427,2,151.9
428,1,178.5
429,2,153
430,1,171.1
431,2,158.6
432,1,180.6
433,2,158.1
434,1,167.8
435,1,159.6
436,2,149.2
437,1,153.3
438,2,153.6
439,1,170.3
440,2,153.1
441,2,153.3
442,1,173.4
443,2,155.8
444,1,170.3
445,2,156.3
446,2,161
447,1,176.2
448,2,161
449,1,173.4
450,2,165.7
451,1,179.4
452,2,164.5
453,2,160
454,1,178.4
455,1,174.4
456,1,161.3
457,2,154.4
458,2,162.8
459,2,167.9
460,1,166.3
461,2,156.4
462,2,166.7
463,2,150.7
464,2,152
465,1,169.4
466,2,155.2
467,1,165.6
468,2,165.1
469,1,165.6
470,2,157.6
471,1,168.9
472,1,155.4
473,1,169.1
474,2,164.8
475,2,143.8
476,2,160.6
477,1,169.4
478,2,152.4
479,1,168.5
480,2,158.8
481,2,149.3
482,2,152.1
483,1,180.3
484,1,178.4
485,2,158.2
486,1,163.3
487,1,172.3
488,1,176.3
489,2,161
490,1,173.6
491,1,163
492,1,166.3
493,2,160.9
494,2,159.3
495,1,175.4
496,1,168
497,2,157.5
498,2,149
499,2,149.3
500,2,157.5
501,1,178.3
502,1,165
503,2,150.8
504,1,171.4
505,2,160.3
506,2,151
507,1,178.8
508,2,149.9
509,1,174.8
510,1,177.5
511,1,164.9
512,2,156.3
513,1,160.4
514,1,158.4
515,1,165.3
516,2,146
517,1,174.4
518,2,162.7
519,1,173
520,2,152.6
521,2,150.9
522,2,155.3
523,1,175.1
524,2,163.4
525,1,171.5
526,2,164.5
527,1,169.3
528,2,150
529,1,168
530,2,161.3
531,2,162.6
532,1,171.1
533,2,160.5
534,1,172.4
535,2,159.8
536,1,168.1
537,2,155.8
538,1,170.7
539,2,157.8
540,1,161.7
541,2,153.2
542,1,164
543,2,153.5
544,1,168.5
545,1,169.5
546,2,157.9
547,2,162.3
548,1,169
549,2,165.3
550,1,172.8
551,1,170
552,2,165.4
553,1,179.3
554,1,190.3
555,1,172.6
556,2,162.6
557,2,153.1
558,1,168
559,2,157.1
560,1,171.4
561,2,164.1
562,2,172.8
563,1,181
564,1,172.8
565,2,162.7
566,1,178.8
567,2,158.3
568,1,169.7
569,2,165.7
570,2,152.3
571,1,174.7
572,2,156.2
573,1,167.4
574,2,160.3
575,2,148.1
576,1,174.8
577,1,178.1
578,2,157.6
579,1,179.1
580,2,162.8
581,1,168.3
582,2,156.4
583,1,175.3
584,1,175.4
585,2,162.2
586,2,153.4
587,2,157
588,1,171
589,2,158.8
590,1,171.9
591,2,159.5
592,1,169.7
593,2,160.1
594,2,156.1
595,1,180.1
596,2,171.8
597,1,168.7
598,2,152.9
599,1,176.7
600,2,160.2
601,1,174
602,2,160.2
603,1,165
604,2,156
605,2,155.5
606,2,162
607,1,174.3
608,2,160.3
609,1,168.2
610,2,157.2
611,1,174
612,2,153
613,1,166.2
614,2,158.1
615,2,162.5
616,1,163.4
617,2,156
618,1,168.2
619,2,165.6
620,1,171.4
621,2,155.8
622,1,168.5
623,2,158.7
