i,gender,ht
4404,2,162.4
4405,1,174
4406,2,166.1
4407,1,168.2
4408,2,156.6
4409,1,175.7
4410,2,162.4
4411,1,175.2
4412,1,170.2
4413,2,152.1
4414,1,174.5
4415,2,160.2
4416,2,164.2
4417,1,171.2
4418,1,167.2
4419,2,147.2
4420,2,158.2
4421,2,162.1
4422,1,171.3
4423,2,157.5
4424,2,163.2
4425,1,168.9
4426,2,151.5
4427,1,170.2
4428,2,162.2
4429,1,184.5
4430,1,167.7
4431,2,152.3
4432,1,164.5
4433,2,159.7
4434,2,160.1
4435,1,168.1
4436,1,172
4437,2,160.2
4438,2,149.8
4439,1,168.3
4440,1,161
4441,2,160.7
4442,2,159
4443,1,168.5
4444,2,158.3
4445,1,167.5
4446,1,164.5
4447,1,164.5
4448,2,159
4449,1,171
4450,2,157
4451,2,163.5
4452,2,165.4
4453,2,161.5
4454,2,155
4455,1,161.5
4456,2,167.9
4457,1,182.5
4458,2,161
4459,2,150
4460,1,168.4
4461,2,160
4462,2,151.2
4463,2,160
4464,1,179.5
4465,1,156.7
4466,2,157.2
4467,1,156.4
4468,2,161.5
4469,1,173
4470,2,166.5
4471,2,173
4472,1,170
4473,2,177.1
4474,2,166
4475,1,171.6
4476,2,164.8
4477,2,159.4
4478,1,172
4479,2,161.4
4480,2,160
4481,1,167.5
4482,2,162.7
4483,2,147.4
4484,1,180
4485,2,170.4
4486,1,155.1
4487,2,154.5
4488,1,156.5
4489,2,158.4
4490,1,165.5
4491,2,160.4
4492,1,174.5
4493,2,154.7
4494,1,172
4495,1,167.9
4496,1,165.5
4497,2,151.6
4498,1,172.8
4499,2,162.1
4500,1,160.7
4501,2,163.6
4502,1,168.5
4503,2,160.4
4504,1,170.8
4505,2,158.8
4506,1,168.4
4507,2,156.3
4508,2,165.1
4509,1,153.7
4510,2,150.1
4511,1,160.5
4512,2,164.5
4513,1,165.4
4514,1,172.8
4515,2,157.5
4516,1,167
4517,2,160
4518,1,169
4519,2,150.5
4520,1,155.6
4521,2,156.3
4522,1,172.9
4523,2,152.1
4524,1,169.6
4525,2,150.7
4526,1,167.4
4527,1,172.8
4528,2,158.3
4529,1,170.3
4530,2,157.6
4531,1,170.2
4532,2,157.8
4533,2,157.9
4534,2,158.9
4535,1,163.4
4536,2,151
4537,1,167.4
4538,2,144.4
4539,1,163.1
4540,2,153.2
4541,2,145.6
4542,1,173.2
4543,1,165.8
4544,2,157.3
4545,1,173.9
4546,2,152.6
4547,1,173.3
4548,1,169.8
4549,2,150.2
4550,1,171
4551,1,170.2
4552,2,156
4553,1,172.4
4554,1,168.4
4555,2,156.8
4556,1,173.4
4557,1,172.3
4558,2,152.8
4559,1,169.5
4560,2,157.6
4561,1,170.8
4562,2,150.2
4563,2,164.3
4564,2,162.2
4565,2,156.1
4566,2,158.1
4567,2,163.5
4568,2,158
4569,1,182.9
4570,2,165.2
4571,1,163.2
4572,2,150.6
4573,1,168.5
4574,2,160.2
4575,1,169.8
4576,2,151.5
4577,1,168
4578,1,173.9
4579,2,162.9
4580,1,177.1
4581,2,155.2
4582,1,172.4
4583,1,176.3
4584,2,158.6
4585,1,172.4
4586,2,150.2
4587,1,167
4588,2,165
4589,2,160.1
4590,2,153.7
4591,2,163
4592,2,155.2
4593,2,162.8
4594,1,175.4
4595,1,164
4596,2,162.7
4597,1,160.2
4598,2,140.5
4599,2,158.5
4600,1,171.6
4601,2,136.1
4602,2,167.5
4603,2,163.3
4604,1,162.5
4605,2,154.2
4606,1,176.4
4607,2,154.2
4608,1,170
4609,2,158.2
4610,2,162.4
4611,1,163
4612,2,158.2
4613,1,171.1
4614,2,153.9
4615,1,170
4616,1,171.1
4617,2,168
4618,1,168.3
4619,2,168.9
4620,1,170.2
4621,2,146.3
4622,1,160
4623,2,161.8
4624,2,173
4625,2,163.5
4626,2,162.3
4627,1,168.1
4628,2,150.3
4629,1,175.5
4630,1,172.3
4631,2,162
4632,2,157.5
4633,1,168
4634,2,145.2
4635,2,159.2
4636,1,168.9
4637,2,151.2
4638,2,153.4
4639,2,150.5
4640,1,170.7
4641,2,152.4
4642,1,168.5
4643,1,160.5
4644,2,151.7
4645,1,170.3
4646,2,152.6
4647,1,170.5
4648,2,154.3
4649,2,157.5
4650,2,161
4651,2,165.2
4652,2,160.2
4653,1,173.4
4654,2,162.1
4655,1,168.6
4656,2,156.7
4657,2,165.4
4658,2,175.7
4659,2,166.6
4660,1,169.9
4661,2,164.5
4662,1,162.4
4663,2,153.2
4664,2,160
4665,2,158
4666,1,172.5
4667,2,156.2
4668,1,173.5
4669,2,146.8
4670,1,173.2
4671,2,157.2
4672,2,159.2
4673,2,158.3
4674,1,178.1
4675,2,163.3
4676,2,160.5
4677,1,172
4678,2,160.1
4679,1,167.3
4680,2,148.4
4681,2,152
4682,2,154.4
4683,1,177.2
4684,2,157.2
4685,1,184.7
4686,2,166.8
4687,1,183
4688,2,174
4689,1,171
4690,2,158.2
4691,1,166.8
4692,2,160.1
4693,1,173.3
4694,2,152
4695,1,181.2
4696,2,163.1
4697,1,158.6
4698,2,148.9
4699,1,165
4700,2,153.5
4701,1,173.3
4702,2,151.3
4703,2,156.9
4704,1,168.9
4705,2,150.4
4706,2,152.4
4707,1,181.9
4708,2,156.3
4709,1,163.5
4710,2,160.1
4711,1,180.6
4712,1,171
4713,1,158.4
4714,2,154.1
4715,1,172.8
4716,2,154.7
4717,1,163.3
4718,1,169.5
4719,2,159.5
4720,1,171.2
4721,1,166.7
4722,2,163.4
4723,1,160.2
4724,2,157.6
4725,1,182.5
4726,2,165.3
4727,1,164.3
4728,2,162.1
4729,1,174.7
4730,2,160.7
4731,1,175.4
4732,2,166.7
4733,1,173.8
4734,2,169.2
4735,2,174.4
4736,1,170.4
4737,2,161.3
4738,1,173.1
4739,2,158.2
4740,1,164.3
4741,2,152
4742,1,167.8
4743,2,161.4
4744,2,158
4745,1,171.5
4746,2,162.7
4747,1,173
4748,2,153.1
4749,2,162.3
4750,1,174.5
4751,2,154.9
4752,1,176.4
4753,2,163.7
4754,1,172
4755,1,167.8
4756,2,159.8
4757,1,172.5
4758,2,157
4759,1,166.9
4760,2,162.3
4761,1,170
4762,2,159.3
4763,1,169.2
4764,2,166.1
4765,2,152.4
4766,1,171.2
4767,2,166.9
4768,1,177.1
4769,2,161
4770,1,177.9
4771,2,158
4772,2,163
4773,1,166.7
4774,1,165.5
4775,2,149.9
4776,1,169.5
4777,2,157.3
4778,1,165.2
4779,2,155.9
4780,2,164.1
4781,1,177.7
4782,1,159
4783,1,170.4
4784,1,171.2
4785,1,173.1
4786,2,159.1
4787,1,173.4
4788,2,170.1
4789,1,167.4
4790,2,167.2
4791,1,171.3
4792,2,163.3
4793,1,168.4
4794,2,157.1
4795,2,160.2
4796,1,155.3
4797,1,168.1
4798,2,162.7
4799,1,175
4800,2,163
4801,2,153.1
4802,2,158.1
4803,2,160.5
4804,2,153.7
4805,1,171.5
4806,2,160.2
4807,2,159.9
4808,1,153.1
4809,2,149.2
4810,2,151.9
4811,2,159.1
4812,1,162.8
4813,1,150.1
4814,1,174.2
4815,2,163.3
4816,1,164.1
4817,2,160.3
4818,2,151.7
4819,1,165.4
4820,2,155.7
4821,1,165.3
4822,2,140.5
4823,1,176
4824,2,159
4825,2,155.1
4826,1,170.2
4827,1,171
4828,1,167.2
4829,2,150.7
4830,2,161.6
4831,1,166
4832,1,170.7
4833,1,154.6
4834,2,161.2
4835,2,155.9
4836,1,177.1
4837,2,153.8
4838,2,164.3
4839,1,169.3
4840,2,157.8
4841,2,158.4
4842,1,170.4
4843,2,160.2
4844,1,180.2
4845,1,162.7
4846,2,168.4
4847,1,174.5
4848,2,155.3
4849,2,165.3
4850,2,162.4
4851,1,177.3
4852,2,163
4853,1,167.4
4854,1,163.5
4855,2,161.5
4856,1,170.2
4857,2,150.3
4858,1,164.3
4859,2,158.3
4860,2,160.4
4861,2,168.4
4862,2,163
4863,1,174.5
4864,2,158.3
4865,2,159.7
4866,1,170.2
4867,1,173.3
4868,2,151.6
4869,1,179.9
4870,1,168.4
4871,2,164.5
4872,1,153.8
4873,1,153.5
4874,2,145.8
4875,1,169.3
4876,2,155.3
4877,1,187.1
4878,1,173.6
4879,1,181
4880,1,165.7
4881,2,164.6
4882,1,168.8
4883,2,160.8
4884,1,165.4
4885,2,161.6
4886,1,165.3
4887,2,156.4
4888,1,158
4889,2,165
4890,1,178
4891,2,170.9
4892,1,157.9
4893,1,153.8
4894,2,165
4895,1,171
4896,1,173.4
4897,2,157.7
4898,2,153
4899,1,163.9
4900,2,144.8
4901,2,153.3
4902,1,165.8
4903,1,173.3
4904,1,160
4905,2,155.2
4906,1,172.8
4907,2,157.6
4908,2,154
4909,1,150.9
4910,2,152.9
4911,1,163.8
4912,2,162
4913,1,168.9
4914,2,156.3
4915,2,163.4
4916,1,174.8
4917,2,169.2
4918,1,166.6
4919,2,163.5
4920,1,168.6
4921,2,158.4
4922,1,174.5
4923,2,164.8
4924,1,171
4925,2,156.2
4926,1,165.7
4927,1,170.3
4928,2,160.4
4929,1,163.5
4930,2,157.5
4931,1,165.4
4932,2,149
4933,1,174.5
4934,2,159.4
4935,1,158.4
4936,1,177.5
4937,2,162.1
4938,1,174.6
4939,2,166.4
4940,1,171.4
4941,1,168.4
4942,2,155.6
4943,1,163.6
4944,2,154.7
4945,1,168.4
4946,2,156.5
4947,1,163.2
4948,2,165.4
4949,2,162.2
4950,1,167.1
4951,1,172.2
4952,2,156.4
4953,1,172.3
4954,2,155.6
4955,1,170.2
4956,2,161
4957,1,172.5
4958,2,160.2
4959,1,160.4
4960,2,153.7
4961,2,150.4
4962,1,164.8
4963,1,177.6
4964,2,159.5
4965,1,170.1
4966,2,150.9
4967,2,158.2
4968,1,176.7
4969,2,147.6
4970,1,174.9
4971,2,165.3
4972,1,158.7
4973,2,149.8
4974,2,157.2
4975,1,168.1
4976,2,160.2
4977,1,172.8
4978,2,158.8
4979,2,153.5
4980,1,174.2
4981,1,174.1
4982,2,153
4983,1,164.6
4984,2,154.2
4985,2,162.7
4986,1,169.2
4987,2,153.1
4988,2,157.8
4989,1,170.5
4990,2,158
4991,1,162.9
4992,1,165.5
4993,2,162
4994,2,156.1
4995,1,171.2
4996,2,158.4
4997,1,160
4998,2,152.8
4999,2,145.2
5000,2,156.5
5001,1,176.7
5002,2,167.9
5003,2,162.6
5004,2,161.9
5005,1,165.1
5006,2,151.8
5007,2,158.4
5008,1,172.8
5009,2,154.7
5010,2,160
5011,2,149.5
5012,1,180.5
5013,1,164.7
5014,2,154.2
5015,1,166.5
5016,2,158.8
5017,2,164.5
5018,1,176.7
5019,2,157.8
5020,1,155.6
5021,2,158.6
5022,2,161.5
5023,1,172.5
5024,2,157.5
5025,2,147.1
5026,1,173.7
5027,1,154.7
5028,2,155.2
5029,1,172.6
5030,2,159.4
5031,1,159.2
5032,2,156.9
5033,1,167.3
5034,2,150.1
5035,2,159.2
5036,1,172
5037,1,154.1
5038,2,163.7
5039,1,168.2
5040,2,155.2
5041,1,170.2
5042,2,150.4
5043,2,160.3
5044,1,162
5045,2,162.2
5046,1,172
5047,1,173.2
5048,2,160.7
5049,1,168.1
5050,2,156.4
5051,1,172.6
5052,2,159.9
5053,2,156.3
5054,1,178.1
5055,1,169.1
5056,2,144.7
5057,1,162.8
5058,2,160.1
5059,2,160.2
5060,2,155.1
5061,1,168.3
5062,1,172
5063,2,157.8
5064,2,168.3
5065,1,166.3
5066,2,144.3
5067,1,172
5068,1,170.3
5069,2,150.1
5070,1,177.4
5071,2,154.2
5072,1,170.4
5073,2,160.2
5074,1,165.8
5075,2,155.5
5076,2,157.8
5077,2,168.9
5078,1,174
5079,2,155.4
5080,2,162
5081,1,172.9
5082,2,150.3
5083,2,159.5
5084,2,159.6
5085,1,172.2
5086,2,161.2
5087,2,159.3
5088,2,152.3
5089,2,159.3
5090,2,163.4
5091,2,160.2
5092,1,165.5
5093,2,163.7
5094,1,170.4
5095,2,162.4
5096,2,159.8
5097,1,162.5
5098,2,149.2
5099,2,155.6
5100,1,170.3
5101,2,150.2
5102,1,163.4
5103,2,160.1
5104,2,160.2
5105,1,182.5
5106,2,159
5107,1,181
5108,1,181
5109,1,169.4
5110,2,150
5111,1,169.1
5112,1,167.4
5113,2,161.2
5114,2,153.4
5115,2,160.2
5116,2,153.1
5117,2,167.8
5118,1,167.1
5119,2,157
5120,1,158.4
5121,2,162.5
5122,1,170.1
5123,2,160.1
5124,2,175.1
5125,1,161.6
5126,2,157.8
5127,2,150.5
5128,2,161.2
5129,1,165.3
5130,2,155.1
5131,1,165.2
5132,2,162
5133,1,161.4
5134,2,154.7
5135,2,157.1
5136,2,157.7
5137,2,152.5
5138,1,170.1
5139,1,162.7
5140,2,158.8
5141,1,171.1
5142,2,154.1
5143,1,175
5144,2,161.4
5145,1,167.8
5146,2,163.8
5147,2,154.8
5148,1,165.8
5149,2,147.7
5150,1,155.3
5151,2,147.6
5152,1,154.5
5153,2,157.2
5154,1,163.2
5155,2,160.7
5156,2,161.3
5157,2,155
5158,1,164.5
5159,2,162.4
5160,2,160.5
5161,1,166.7
5162,2,163.5
5163,1,173.4
5164,2,162
5165,1,171.9
5166,1,173.8
5167,1,151.4
5168,2,163.5
5169,1,160.2
5170,1,158.3
5171,1,169.4
5172,2,151.9
5173,1,154.5
5174,2,149.5
5175,2,148.6
5176,1,150.2
5177,2,152.1
5178,2,160.1
5179,1,160.1
5180,1,157.4
5181,2,155.2
5182,1,175.1
5183,2,155.2
5184,2,145.4
5185,1,146.4
5186,2,155.2
5187,1,166.6
5188,2,150.4
5189,2,150.9
5190,2,153.5
5191,1,159
5192,2,144.6
5193,1,161.7
5194,1,160.9
5195,1,169.7
5196,1,164
5197,2,154.9
5198,1,173.3
5199,2,158.6
5200,1,168.9
5201,2,159.5
5202,2,158.1
5203,1,177.3
5204,2,148.2
5205,1,165.7
5206,2,153
5207,1,163.4
5208,1,161.4
5209,2,159.7
5210,2,157.2
5211,1,157
5212,2,154.7
5213,1,163.4
5214,1,161
5215,1,174.1
5216,1,181
5217,1,162.3
5218,2,156
5219,2,155.4
5220,1,155.4
5221,1,165.5
5222,2,158.7
5223,1,159.5
5224,2,158.4
5225,1,168
5226,2,161.2
5227,1,167.8
5228,2,152.3
5229,1,175.3
5230,2,158.8
5231,1,173
5232,1,157.3
5233,2,150.2
5234,1,171.2
5235,2,157.2
5236,1,180.1
5237,1,175
5238,2,160
5239,2,158.1
5240,1,165.3
5241,2,150.1
5242,2,154.9
5243,1,174.3
5244,2,168.3
5245,1,170
5246,2,156.4
5247,1,177.5
5248,1,184.4
5249,1,172.9
5250,2,153.4
5251,1,155
5252,2,155.8
5253,1,174.3
5254,2,156.6
5255,1,173.8
5256,2,154.2
5257,1,177.7
5258,2,160.6
5259,1,173.1
5260,2,164.3
5261,2,156.1
5262,1,172
5263,2,162
5264,1,178.6
5265,2,164.3
5266,1,168.3
5267,1,161.5
5268,2,155.4
5269,2,162.6
5270,1,170.3
5271,1,160.7
5272,2,159.4
5273,1,174.4
5274,2,154.5
5275,2,161.1
5276,1,172.6
5277,2,149.8
5278,2,159.8
5279,1,163.5
5280,2,156.4
5281,2,161.2
5282,2,163
5283,1,169.9
5284,2,153
5285,2,169.5
5286,1,160.9
5287,2,150.2
5288,1,175.3
5289,1,162.5
5290,2,153.2
5291,1,153.4
5292,2,157.5
5293,2,140.1
5294,1,164.2
5295,2,158.2
5296,1,166.5
5297,2,152.9
5298,1,165.8
5299,2,156.5
5300,1,155.3
5301,2,152.2
5302,1,156.6
5303,2,143.1
5304,1,175.5
5305,1,168.4
5306,2,150.1
5307,1,156.3
5308,2,152.4
5309,1,165.4
5310,2,152.5
5311,1,170.5
5312,2,160.8
5313,1,177.3
5314,2,154.7
5315,1,168.2
5316,1,155.4
5317,2,149.9
5318,2,158.3
5319,1,155.4
5320,2,144.2
5321,2,148.3
5322,1,160.5
5323,2,146.3
5324,1,156.7
5325,2,148.1
5326,1,171.3
5327,2,153.2
5328,1,157.1
5329,2,139.2
5330,1,170.6
5331,1,170.8
5332,1,176.2
5333,2,160.6
5334,1,167.8
5335,2,147.7
5336,1,162.3
5337,2,161.6
5338,1,170.1
5339,2,153.8
5340,1,167.4
5341,2,150
5342,1,170.1
5343,2,156
5344,2,164
5345,1,155.8
5346,2,153.8
5347,2,154.2
5348,1,170.3
5349,2,149.2
5350,1,178.1
5351,2,150.6
5352,1,164.5
5353,1,157.5
5354,2,154.1
5355,1,160.5
5356,2,157.8
5357,1,170.2
5358,2,160.3
5359,1,171.7
5360,2,156
5361,1,181.1
5362,2,157.7
5363,1,167.1
5364,2,153.4
5365,1,160.5
5366,2,158.1
5367,1,175.2
5368,2,153.8
5369,1,172.8
5370,2,170.1
5371,1,173
5372,2,171
5373,2,160.1
5374,2,156.2
5375,1,166.5
5376,2,158.2
5377,1,169.3
5378,2,163.7
5379,1,168.9
5380,1,169.4
5381,2,157.8
5382,2,151.6
5383,1,167.9
5384,1,173
5385,1,172.5
5386,2,165.8
5387,1,165
5388,2,154.5
5389,1,169.9
5390,2,149.6
5391,1,167
5392,2,162.2
5393,1,164.2
5394,2,157.2
5395,1,179.8
5396,2,159
5397,1,173.8
5398,2,152
5399,2,169.2
5400,1,172.2
5401,2,159.7
5402,1,175
5403,2,162.5
5404,1,170.1
5405,2,158.6
5406,1,179.1
5407,2,153.6
5408,1,173.1
5409,2,160.3
5410,1,167.8
5411,2,148.9
5412,1,182.7
5413,1,164.8
5414,2,162
5415,1,167.1
5416,2,151.1
5417,1,176.9
5418,2,159.7
5419,1,177.9
5420,2,171.6
5421,1,179.1
5422,2,150.6
5423,1,168.5
5424,2,155.6
5425,1,173.3
5426,2,161.6
5427,1,177
5428,2,153.7
5429,2,157.6
5430,1,161.1
5431,2,149.4
5432,2,154.7
5433,2,156
5434,1,176.8
5435,2,156.3
5436,1,167.5
5437,2,154.8
5438,1,169.1
5439,2,166
5440,1,179.8
5441,2,166.7
5442,2,165.8
5443,1,177.5
5444,2,165.2
5445,1,171.5
5446,2,153.5
5447,1,165
5448,2,163.9
5449,1,181.1
5450,2,163
5451,2,152.2
5452,1,173.9
5453,2,162.1
5454,2,165.8
5455,1,151
5456,2,156
5457,1,165.8
5458,2,152.4
5459,2,159.4
5460,1,169
5461,2,151.5
5462,1,166.8
5463,2,147.5
5464,1,165
5465,1,165.7
5466,2,145.3
5467,1,168.4
5468,1,159.1
5469,2,150.6
5470,1,176.6
5471,2,152
5472,1,171
5473,2,151.5
5474,2,154
5475,1,172.8
5476,2,156.2
5477,1,165.5
5478,2,156.4
5479,1,170.4
5480,1,155.2
5481,2,159
5482,1,161.4
5483,1,166.5
5484,2,152.2
5485,2,151.9
5486,2,164.2
5487,1,180.1
5488,2,151.7
5489,2,156.8
5490,1,172.2
5491,2,131
5492,1,165.7
5493,2,159
5494,1,165.8
5495,2,152.2
5496,1,177.5
5497,1,170.2
5498,1,162.6
5499,2,165.7
5500,1,168
5501,2,150.5
5502,1,161.4
5503,2,151.3
5504,1,169.7
5505,2,165.7
5506,1,162.1
5507,1,176.6
5508,2,162.8
5509,1,173.5
5510,1,170.3
5511,2,149.7
5512,1,172.1
5513,2,150.8
5514,1,164.3
5515,1,182
5516,1,180.2
5517,2,162.4
5518,1,159.9
5519,2,156.1
5520,1,172.3
5521,1,177.5
5522,1,176
5523,1,167
5524,2,160
5525,2,152.4
5526,1,170.9
5527,2,147.4
5528,2,157.5
5529,1,163.2
5530,2,154.8
5531,1,172.9
5532,2,163.4
5533,1,166
5534,2,160.4
5535,2,166.4
5536,1,168
5537,2,158
5538,1,166.5
5539,2,164.8
5540,2,163.2
5541,2,157.1
5542,1,174
5543,2,149.8
5544,2,155.8
5545,2,152.7
5546,1,170.6
5547,1,169
5548,2,160.7
5549,1,177
5550,2,160.4
5551,1,171.7
5552,2,151.2
5553,1,170.4
5554,2,151
5555,1,169.5
5556,1,160.5
5557,2,153.5
5558,2,165.1
5559,2,158
5560,1,175
5561,1,166.9
5562,2,156.9
5563,2,153.6
5564,1,169
5565,2,162
5566,1,179.5
5567,1,159.2
5568,2,158
5569,1,162.1
5570,2,160.8
5571,1,171.1
5572,2,159.4
5573,2,158.1
5574,2,156.5
5575,1,169.9
5576,2,157.4
5577,1,177
5578,1,172.1
5579,2,153.6
5580,2,161.2
5581,2,159.3
5582,1,174.1
5583,2,157.6
5584,2,155.5
5585,2,156.7
5586,1,168
5587,1,169.3
5588,2,170.5
5589,2,165.6
5590,1,167.6
5591,2,162.7
5592,2,158.1
5593,2,162.5
5594,2,156.5
5595,1,173.5
5596,2,171.4
5597,1,171.4
5598,2,162.8
5599,1,171.4
5600,2,156.8
5601,1,167.5
5602,2,165.5
5603,1,182.5
5604,1,164.4
5605,2,152.7
5606,2,151.5
5607,2,160.5
5608,2,155.9
5609,2,168.7
5610,1,184
5611,1,162.7
5612,2,163.4
5613,1,163.3
5614,2,154.5
5615,1,164.6
5616,2,148.7
5617,1,165.2
5618,2,155.6
5619,2,162.4
5620,1,167
5621,2,159.5
5622,2,153
5623,1,172.7
5624,2,152.5
5625,1,175.7
5626,2,157.9
5627,1,175
5628,2,148.2
5629,2,157.5
5630,2,162.6
5631,1,171.4
5632,2,157.5
5633,1,155.6
5634,2,150
5635,1,165.1
5636,1,178.9
5637,2,157.5
5638,2,160.7
5639,2,166.1
5640,1,170.5
5641,2,160
5642,1,170.8
5643,2,163.4
5644,1,176.4
5645,2,171.3
5646,1,177.4
5647,2,163.2
5648,1,178
5649,2,158.1
5650,1,158.4
5651,2,154.8
5652,1,163.8
5653,2,154.7
5654,1,168.6
5655,1,170
5656,2,155.1
5657,1,169.9
5658,2,157.9
5659,1,174.3
5660,2,153.9
5661,1,184.9
5662,2,162.8
5663,2,168
5664,1,163.6
5665,2,157.8
5666,1,179.8
5667,2,159.1
5668,1,176
5669,2,160.7
5670,1,167.2
5671,1,167.9
5672,2,154.6
5673,1,172.2
5674,1,167.8
5675,2,168.5
5676,1,165.1
5677,2,151.9
5678,1,172.9
5679,1,160.4
5680,2,144.9
5681,1,163
5682,2,155.1
5683,1,167.2
5684,1,164.2
5685,2,156.7
5686,1,181.1
5687,1,171.5
5688,2,154.7
5689,1,183.3
5690,2,160.1
5691,2,159.7
5692,2,148.7
5693,1,159.2
5694,2,151.7
5695,2,157.2
5696,1,168.2
5697,2,147.5
5698,1,168
5699,2,161.6
5700,1,163.6
5701,2,154.3
5702,2,168.2
5703,1,170.5
5704,1,169.2
5705,2,160.5
5706,1,167.1
5707,2,152.4
5708,1,172.2
5709,2,155.9
5710,1,159.7
5711,1,158.1
5712,2,152.2
5713,1,158.5
5714,2,152
5715,1,159
5716,2,155.3
5717,1,163.5
5718,2,155.6
5719,1,169.5
5720,1,164.7
5721,2,156.1
5722,2,156
5723,1,165.8
5724,1,169.7
5725,2,154.5
5726,1,169.7
5727,1,174.9
5728,2,153
5729,1,168.9
5730,1,163.3
5731,2,155.9
5732,1,169.4
5733,2,161
5734,2,165.2
5735,2,157.2
5736,1,164.3
5737,2,161.2
5738,1,173.6
5739,2,148.2
5740,2,156.2
5741,1,168.4
5742,2,157.8
5743,2,162.4
5744,1,166.9
5745,2,156.1
5746,2,158.2
5747,2,160.5
5748,2,165.2
5749,1,182.1
5750,2,162.6
5751,1,163.9
5752,2,146.2
5753,1,175.6
5754,2,156.7
5755,1,171.4
5756,2,161.8
5757,1,180.7
5758,1,173.9
5759,2,161
5760,1,168.6
5761,2,147.3
5762,2,161.9
5763,1,175.3
5764,2,151.3
5765,1,164.7
5766,2,151.5
5767,1,165.3
5768,1,167.5
5769,2,159.2
5770,1,165.2
5771,2,157.9
5772,1,172.1
5773,2,153.8
5774,1,177.4
5775,2,158.2
5776,2,165.5
5777,2,156.5
5778,2,150.7
5779,1,171.3
5780,2,161.8
5781,2,160.4
5782,1,176
5783,2,159.8
5784,1,167.4
5785,2,159.8
5786,2,160.2
5787,2,157.9
5788,2,157.2
5789,2,150.4
5790,1,171.1
5791,2,163.1
5792,1,170.6
5793,2,145.2
5794,2,151.2
5795,1,170.4
5796,1,167.1
5797,2,154.1
5798,2,161.4
5799,2,158.4
5800,1,170.4
5801,2,163.9
5802,1,160.4
5803,2,155.6
5804,1,171.6
5805,2,153.7
5806,2,154.5
5807,2,164.4
5808,2,148.4
5809,2,163.6
5810,1,172.9
5811,2,158
5812,1,170.7
5813,2,161.5
5814,2,160.6
5815,1,168.6
5816,2,160.9
5817,2,158.5
5818,2,145.7
5819,1,180
5820,2,157.4
5821,2,160.6
5822,1,167
5823,2,158.3
5824,1,171.9
5825,1,173.6
5826,1,175.2
5827,2,157.3
5828,1,168.5
5829,1,171.1
5830,2,158.2
5831,1,152.7
5832,2,159.8
5833,1,167.3
5834,1,153.7
5835,2,158.4
5836,1,174.5
5837,2,155.5
5838,1,158.5
5839,2,152
5840,2,162
5841,2,153.4
5842,1,172.5
5843,1,160
5844,2,145.1
5845,2,146.3
5846,2,156.7
5847,2,150.9
5848,2,158.7
5849,1,173.5
5850,2,158.1
5851,1,185.5
5852,1,171.9
5853,1,170.4
5854,2,156.7
5855,1,171.7
5856,1,176.8
5857,1,164.8
5858,1,164.1
5859,2,154.3
5860,1,172
5861,2,145.1
5862,2,155.5
5863,1,159.6
5864,2,153.4
5865,1,165.4
5866,2,151.7
5867,1,168
5868,2,146.1
5869,1,170.6
5870,2,153.7
5871,1,175.9
5872,1,162.2
5873,2,151.2
5874,1,170.2
5875,2,154.8
5876,1,180.3
5877,1,165.8
5878,2,150.9
5879,2,162
5880,1,173.7
5881,2,151.5
5882,1,165.7
5883,2,151.1
5884,1,176.2
5885,2,161.2
5886,1,170.2
5887,2,157.7
5888,1,170.6
5889,2,151
5890,1,167.3
5891,2,155.3
5892,2,154.4
5893,1,175.1
5894,2,157.1
5895,2,152.8
5896,2,160.8
5897,1,164.6
5898,2,158.1
5899,1,160.8
5900,2,162.9
5901,1,163.5
5902,2,156.5
5903,1,163.3
5904,2,150.9
5905,1,178.2
5906,2,156.3
5907,2,149.1
5908,1,169.8
5909,2,149.6
5910,2,155.4
5911,1,162
5912,2,144.9
5913,1,169.9
5914,2,157
5915,2,146.9
5916,2,151.3
5917,1,165.4
5918,2,158.9
5919,2,148
5920,2,151.9
5921,1,172.4
5922,2,158.9
5923,2,166.1
5924,1,169.8
5925,2,160.8
5926,2,157.4
5927,1,171.3
5928,2,154.5
5929,2,163.6
5930,1,167.9
5931,1,171.5
5932,2,145.3
5933,1,157.5
5934,1,178.2
5935,1,166.9
5936,2,154.5
5937,1,167.3
5938,2,155
5939,1,172.5
5940,2,153.4
5941,1,173.4
5942,1,168.7
5943,2,144.1
5944,2,154.4
5945,1,165.7
5946,1,168
5947,2,153.9
5948,2,149.8
5949,2,151.9
5950,1,175.4
5951,2,150.5
5952,2,157.1
5953,1,174.4
5954,2,156
5955,1,171.6
5956,2,165.7
5957,2,166.6
5958,1,175.2
5959,1,168.9
5960,2,148.5
5961,1,156.8
5962,2,156.2
5963,1,164.9
5964,2,155.5
5965,1,168.3
5966,2,155.8
5967,2,160.2
5968,1,173
5969,2,150.6
5970,1,166.8
5971,2,153.5
5972,1,169
5973,1,168.5
5974,2,146.2
5975,1,170.2
5976,2,149.4
5977,2,153.4
5978,1,163.4
5979,2,147.5
5980,1,140.2
5981,2,155.8
5982,2,149.9
5983,1,161.2
5984,2,157.4
5985,1,168.2
5986,2,155.5
5987,2,153.4
5988,1,162.3
5989,2,158.8
5990,1,165.9
5991,1,166.8
5992,1,157.2
5993,2,148
5994,2,144.7
5995,1,160.1
5996,2,154.2
5997,1,170.9
5998,2,155.4
5999,1,168.1
6000,2,157.3
6001,2,148
6002,1,168.5
6003,2,164.4
